country,ind,size,er,profitability,post,sales_growth,cc,gas,post_gas,Alternative,alt_post_gas,post_alt
PL,Manufacturing,7.597117806770211,0.4778927398246878,0.016169078694769492,0,0.09508324000708063,0.019789602422015315,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,7.610009860972619,0.41238855709117284,-0.04243724167590712,0,-0.3306523438719079,-0.022505514581330984,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,7.560734417814747,0.40613223849398516,-0.019717309926423128,0,0.15471768490744925,-0.00848239457206022,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,7.491686186663685,0.375904383145583,-0.010218211974637953,1,0.15244742067805933,0.014065278130556262,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,7.623352559579674,0.4143745404339868,0.029771077457407032,1,0.27956759340196335,-0.00870405164764625,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,7.607133009292719,0.34802434782608693,0.04120596273291926,1,0.03945205787219225,0.00035347471018007116,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,10.581749495596627,0.5126240198939328,0.06754802202542566,0,0.10865426856055059,0.009587238499342052,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,10.663825982636396,0.4927769985974755,0.07410004675081813,0,0.04019724386914983,0.005709355730924408,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,10.779518631746203,0.5650571553501156,0.09871530597372312,0,0.26115296707017693,0.010448807854137447,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,10.886389655708784,0.6014894094753387,0.07890502207918569,1,0.13575647737951402,0.004747329627084765,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,10.847062657437341,0.5571881750773602,0.019364381215577136,1,-0.01125853254927455,0.014968939450639922,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,10.894737322875738,0.576300749647443,0.07138350775625325,1,0.05534967124925284,0.018566451939357374,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,8.805968516050017,0.125358876193276,0.0432636760279768,0,0.024708625276612557,0.004076350659992366,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,8.917610916222879,0.15910383477347284,0.08593143613713845,0,0.10734652255985508,0.0026200340757262667,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,8.83394627725701,0.19830160863885368,0.08618105703393024,0,-0.05619595716658075,0.005796516863569115,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,8.907505134706437,0.17590610688097588,0.07531343370864879,1,0.08947602333504232,0.00301384840393524,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,9.03815617804877,0.18653516809509255,0.0845246649507896,1,0.13719150616761414,0.002268516061819298,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,8.963970413916288,0.16418408639348647,0.09224047602903153,1,-0.06975166594143851,0.013251343125006755,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,7.467959465205902,0.6611160288515903,0.0732426057805977,0,0.06562819070917306,0.002321075853539287,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,7.505798058563842,0.6432086776541388,0.05399778725538284,0,-0.11715639902629059,-0.010308789683786115,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,7.591139456142031,0.5862173951021147,0.026556509770677014,0,0.2906898783863815,0.018062132813067067,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,7.702892100179092,0.5425543539117839,0.035779756035009005,1,0.39914880648515394,0.012747346848304704,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,7.796043988204332,0.5888408147213906,0.17694941023445002,1,-0.08711319370402065,0.009964582814085968,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,7.748965073217434,0.5894515755845516,0.07179461971540693,1,-0.15826101427912137,0.05169961241745052,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,6.94301044743845,0.048179139749238334,-0.013609631966513625,0,0.25283125372533394,0.0035807692638224857,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,6.870223698440796,0.05841476633262871,0.03021188499570167,0,0.075576550135719,0.005803738642550711,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,6.826708984550501,0.08752471124577212,0.047087732920096596,0,-0.04427084668332992,-0.0033566453895702087,0.5502458030797356,0.0,1,0.0,0
PL,Manufacturing,6.945578862758383,0.09241171327661313,0.031803055804835216,1,0.2370114096993939,0.02306672117690053,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,7.113552447959189,0.0901527386154217,0.01852252821317635,1,0.037788268496602585,0.04647642670343595,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,6.969291485179249,0.0752903939842158,-0.022499950633257763,1,-0.05772499910465925,-0.03422292479308167,0.5502458030797356,0.5502458030797356,1,0.5502458030797356,1
PL,Manufacturing,6.11362244353478,0.36882070389160415,0.03519236768568034,0,-0.01935448101323623,-0.007641377537081976,0.5502458030797356,0.0,1,0.0,0
