fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
CZE,A,HIST_STD,INDL,C,206716,2023-12-31,2111,15902.0000,607.0000,3900.0000,20570.0000,8517.0000
CZE,A,HIST_STD,INDL,C,206716,2024-12-31,2111,17307.0000,254.0000,3994.0000,21608.0000,8526.0000
CZE,I,HIST_STD,INDL,C,206759,2018-12-31,4813,36130.0000,1479.0000,7370.0000,38331.0000,15225.0000
CZE,I,HIST_STD,INDL,C,206759,2019-12-31,4813,42680.0000,1589.0000,7520.0000,39109.0000,14177.0000
CZE,I,HIST_STD,INDL,C,206759,2020-12-31,4813,40401.0000,1106.0000,8351.0000,40131.0000,13786.0000
CZE,I,HIST_STD,INDL,C,206759,2021-12-31,4813,40032.0000,1312.0000,9143.0000,41085.0000,14048.0000
CZE,I,HIST_STD,INDL,C,206759,2022-12-31,4813,29613.0000,725.0000,7829.0000,34465.0000,6726.0000
CZE,I,HIST_STD,INDL,C,206759,2023-12-31,4813,31216.0000,337.0000,7863.0000,35299.0000,9627.0000
CZE,I,HIST_STD,INDL,C,206759,2024-12-31,4813,34830.0000,490.0000,7624.0000,37378.0000,9342.0000
CZE,I,HIST_STD,INDL,C,208737,2018-12-31,2911,88374.0000,8361.0000,3117.0000,130768.0000,59267.0000
CZE,I,HIST_STD,INDL,C,208737,2019-12-31,2911,94228.0000,6254.0000,1282.0000,128879.0000,59454.0000
CZE,I,HIST_STD,INDL,C,208737,2020-12-31,2911,84589.0000,10545.0000,-6263.0000,83121.0000,53242.0000
CZE,I,HIST_STD,INDL,C,208737,2021-12-31,2911,105657.0000,8561.0000,4557.0000,133636.0000,56599.0000
CZE,I,HIST_STD,INDL,C,208737,2022-12-31,2911,130674.0000,9472.0000,22243.0000,209521.0000,80495.0000
CZE,I,HIST_STD,INDL,C,208737,2023-12-31,2911,140478.0000,15553.0000,7609.0000,166433.0000,85552.0000
CZE,I,HIST_STD,INDL,C,208737,2024-12-31,2911,121753.0000,17149.0000,-8496.0000,163063.0000,68513.0000
CZE,I,HIST_STD,INDL,C,210117,2018-12-31,7990,570.3230,,-2.7830,0.0000,552.3230
CZE,I,HIST_STD,INDL,C,210117,2019-12-31,7990,382.6230,,-2.5660,0.0000,363.1140
CZE,I,HIST_STD,INDL,C,210117,2020-12-31,7990,47.7100,,-3.0530,0.0000,46.4930
CZE,I,HIST_STD,INDL,C,210117,2021-12-31,7990,46.8850,,-2.3190,0.0000,4.3220
CZE,I,HIST_STD,INDL,C,210117,2022-12-31,7990,3.4510,,-1.3290,0.0000,3.2140
CZE,I,HIST_STD,INDL,C,210117,2023-12-31,7990,21.8980,,-1.4520,0.0000,21.7560
CZE,I,HIST_STD,INDL,C,210117,2024-12-31,7990,21.2960,,-1.3300,0.0000,21.2300
CZE,I,HIST_STD,INDL,C,210122,2018-12-31,2821,6136.4800,65.9440,617.2870,6340.9310,1034.0540
CZE,I,HIST_STD,INDL,C,210122,2019-12-31,2821,5913.5610,154.7960,479.0740,6035.0810,1211.8650
CZE,I,HIST_STD,INDL,C,210122,2020-12-31,2821,5876.5360,176.4020,361.8300,5438.7220,1277.9930
CZE,I,HIST_STD,INDL,C,210122,2021-12-31,2821,7499.0250,382.9930,1852.1590,9220.6540,2617.1570
CZE,I,HIST_STD,INDL,C,210122,2022-12-31,2821,9186.5700,979.1500,3125.4550,12958.2030,4657.7330
CZE,I,HIST_STD,INDL,C,210122,2023-12-31,2821,8953.6720,1940.9020,760.2470,9234.9760,2773.1170
CZE,I,HIST_STD,INDL,C,210122,2024-12-31,2821,9275.5600,598.6250,203.3650,8405.2510,2817.3470
CZE,A,HIST_STD,INDL,C,210224,2018-12-31,9997,4546.2680,275.3380,108.5620,826.9350,3848.6070
CZE,A,HIST_STD,INDL,C,210224,2019-12-31,9997,5288.2130,524.4040,88.4390,868.3910,4189.1030
CZE,A,HIST_STD,INDL,C,210224,2020-12-31,9997,5505.7200,151.3280,181.9660,1323.1740,4479.8600
CZE,A,HIST_STD,INDL,C,210224,2021-12-31,9997,5600.2470,169.9090,56.5520,1213.2490,4623.9080
CZE,A,HIST_STD,INDL,C,210224,2022-12-31,9997,5571.8490,238.7170,42.9390,1474.9200,4480.8590
CZE,A,HIST_STD,INDL,C,210224,2023-12-31,9997,6052.8420,292.4670,135.9610,1346.5880,4856.2330
CZE,A,HIST_STD,INDL,C,210224,2024-12-31,9997,6309.4400,195.1130,137.0530,1757.3920,5189.0100
CZE,I,HIST_STD,INDL,C,210648,2018-12-31,4950,5153.0880,932.1600,136.5300,3198.6210,4228.7820
CZE,I,HIST_STD,INDL,C,210648,2019-12-31,4950,6465.6400,1210.0030,139.7460,3388.8720,4321.3150
CZE,I,HIST_STD,INDL,C,210648,2020-12-31,4950,6781.9760,1001.9480,92.7450,3329.1240,4376.0050
CZE,I,HIST_STD,INDL,C,210648,2021-12-31,4950,7246.5510,668.3080,203.9550,3601.5780,4398.7850
CZE,I,HIST_STD,INDL,C,210648,2022-12-31,4950,8007.1700,576.5050,146.0530,3809.5300,4585.3350
CZE,I,HIST_STD,INDL,C,210648,2023-12-31,4950,7917.7390,352.6860,592.2340,4363.7100,4954.2080
CZE,I,HIST_STD,INDL,C,210648,2024-12-31,4950,8896.2050,268.9830,474.5010,4541.7950,5245.6070
CZE,A,HIST_STD,INDL,C,259159,2018-12-31,2086,6563.0300,395.7560,431.1000,7118.7680,1523.5130
CZE,A,HIST_STD,INDL,C,259159,2019-12-31,2086,6916.4380,481.4860,562.4270,6409.4670,1513.5500
CZE,A,HIST_STD,INDL,C,259159,2020-12-31,2086,7537.2490,481.4580,364.9350,6171.4550,1307.1920
CZE,A,HIST_STD,INDL,C,259159,2021-12-31,2086,7235.5980,277.4880,435.9870,6636.2180,1296.9590
CZE,A,HIST_STD,INDL,C,259159,2022-12-31,2086,7503.4330,413.6830,525.5190,7875.2840,1287.6290
CZE,A,HIST_STD,INDL,C,259159,2023-12-31,2086,8027.6010,417.0830,712.3470,8690.1030,1457.8500
CZE,A,HIST_STD,INDL,C,259159,2024-12-31,2086,10873.0150,824.6470,1208.5070,11081.9530,2024.0080
CZE,A,HIST_STD,INDL,C,312026,2018-12-31,4991,345.2700,5.2420,53.8730,82.1500,163.4420
CZE,A,HIST_STD,INDL,C,312026,2019-12-31,4991,343.3600,,54.6810,83.5650,188.8130
CZE,A,HIST_STD,INDL,C,312026,2020-12-31,4991,342.6070,0.8250,54.7740,83.6520,215.6090
CZE,A,HIST_STD,INDL,C,312026,2021-12-31,4991,343.4770,4.9180,56.9270,86.1040,245.8740
CZE,A,HIST_STD,INDL,C,312026,2022-12-31,4991,345.7930,0.1920,56.9900,90.5590,278.0120
CZE,A,HIST_STD,INDL,C,312026,2023-12-31,4991,327.5690,,58.0700,92.4880,288.8560
CZE,A,HIST_STD,INDL,C,312026,2024-12-31,4991,295.2450,,55.2730,87.3500,270.0260
CZE,A,HIST_STD,FS,C,321620,2018-12-31,6020,206932.0000,,5450.0000,10558.0000,25237.0000
CZE,A,HIST_STD,FS,C,321620,2019-12-31,6020,219053.0000,,6031.0000,11527.0000,24411.0000
CZE,A,HIST_STD,FS,C,321620,2020-12-31,6020,300958.0000,,3320.0000,12398.0000,27050.0000
CZE,A,HIST_STD,FS,C,321620,2021-12-31,6020,340222.0000,,6001.0000,12208.0000,29481.0000
CZE,A,HIST_STD,FS,C,321620,2022-12-31,6020,387510.0000,,12751.0000,18396.0000,31091.0000
CZE,A,HIST_STD,FS,C,321620,2023-12-31,6020,458184.0000,,19560.0000,25616.0000,32203.0000
CZE,A,HIST_STD,FS,C,321620,2024-12-31,6020,494982.0000,,20249.0000,26132.0000,31879.0000
CZE,A,HIST_STD,INDL,C,328634,2020-12-31,2821,47.2280,1.7430,-3.9960,72.9600,5.4390
CZE,A,HIST_STD,INDL,C,328634,2021-12-31,2821,44.9120,0.9980,-2.2060,75.0050,2.3790
CZE,A,HIST_STD,INDL,C,328634,2022-12-31,2821,37.5560,0.8710,-11.7900,67.1760,-10.1540
CZE,A,HIST_STD,INDL,C,328634,2023-12-31,2821,12.9350,,-0.0080,0.0430,-2.2480
CZE,A,HIST_STD,INDL,C,328635,2018-12-31,3140,251.5970,,36.8750,355.4210,114.4310
CZE,A,HIST_STD,INDL,C,328635,2019-12-31,3140,270.0150,25.1350,44.1090,381.3190,126.2310
CZE,A,HIST_STD,INDL,C,328635,2020-12-31,3140,290.2620,11.0080,38.3930,417.6170,151.5460
CZE,A,HIST_STD,INDL,C,328635,2021-12-31,3140,301.4250,17.7680,66.9420,432.5220,190.9480
CZE,A,HIST_STD,INDL,C,328635,2022-12-31,3140,326.7520,13.2990,30.9150,337.1920,198.4010
CZE,A,HIST_STD,INDL,C,328635,2023-12-31,3140,341.2870,2.8070,48.2570,357.6520,228.6950
CZE,A,HIST_STD,INDL,C,328635,2024-12-31,3140,356.6750,10.9070,42.3770,354.8780,255.7010
CZE,A,HIST_STD,INDL,C,329655,2018-12-31,3829,12.0630,0.1700,-9.7010,0.3280,7.0720
CZE,A,HIST_STD,INDL,C,329655,2019-12-31,3829,4.6060,0.4700,-8.4360,3.0660,-1.2880
CZE,A,HIST_STD,INDL,C,329655,2020-12-31,3829,4.2130,0.1000,-16.4680,4.2590,-0.7940
CZE,A,HIST_STD,INDL,C,329655,2021-12-31,3829,9.2440,0.1000,-19.5090,5.0200,-20.1260
CZE,A,HIST_STD,INDL,C,329655,2022-12-31,3829,38.9700,,-17.9730,0.1390,21.4830
CZE,A,HIST_STD,INDL,C,329655,2023-12-31,3829,29.3200,,1.9960,21.3190,20.3500
CZE,A,HIST_STD,INDL,C,331079,2018-12-31,3721,56.0740,1.1390,2.0300,27.5280,55.7790
CZE,A,HIST_STD,INDL,C,331079,2019-12-31,3721,52.5240,27.8340,-23.4490,1.3560,31.7360
CZE,A,HIST_STD,INDL,C,331079,2020-12-31,3721,50.5160,,-7.0770,30.8740,21.8330
CZE,A,HIST_STD,INDL,C,331079,2021-12-31,3721,84.7340,4.9080,-27.4070,13.2650,84.4040
CZE,A,HIST_STD,INDL,C,331079,2022-12-31,3721,166.4800,,29.5820,102.7660,114.5060
